Note,titre,texte_positif,texte_negatif,full_review,cleanliness_label,comfort_label,location_label,proprete,comfort,location
7,Bon rapport qualité prix,Très bien placé sur le métro ligne 1 Chatelet  et tous les bus possibles,Améliorer dans la salle de bains un porte serviette,Bon rapport qualité prix . Très bien placé sur le métro ligne 1 Chatelet  et tous les bus possibles . Améliorer dans la salle de bains un porte serviette,not_mentioned,positive,positive,0,1,1
7,Séjour agréable,La localisation était ideale,la localisation de la tv dans la chambre.,Séjour agréable . La localisation était ideale . la localisation de la tv dans la chambre.,not_mentioned,positive,positive,0,1,1
8,Très bien,"Bien situé près d'une station de métro, près de la rue Rivoli.","Lit peu confortable, hôtel un peu vieillot.","Très bien . Bien situé près d'une station de métro, près de la rue Rivoli. . Lit peu confortable, hôtel un peu vieillot.",not_mentioned,negative,positive,0,-1,1
8,Très bien,"Un petit hôtel sympathique,  bien placé",L' accueil,"Très bien . Un petit hôtel sympathique,  bien placé . L' accueil",not_mentioned,not_mentioned,positive,0,0,1
8,Très bien,"hotel très bien situé pour qui veut visiter Paris - Personnel disponible et aimable- Chambre sans prétention mais tout à fait suffisante. Métro à 2 pas , bus aussi que je conseille , pratique, moins cher que le métro et au moins on voit Paris.",Rien,"Très bien . hotel très bien situé pour qui veut visiter Paris - Personnel disponible et aimable- Chambre sans prétention mais tout à fait suffisante. Métro à 2 pas , bus aussi que je conseille , pratique, moins cher que le métro et au moins on voit Paris. . Rien",positive,not_mentioned,positive,1,0,1
6,Mitigée,"- L’emplacement _x000D_
- Station de métro au pied de l’hôtel _x000D_
- Le personnel était agréable _x000D_
- Bon rapport qualité prix","- Nous avons dû changer de chambre la fenêtre ne fermait pas_x000D_
- La literie était mauvaise et la couette aussi fine que du papier à cigarette _x000D_
- La décoration et les meubles sont vétustes_x000D_
- La chambre donne l’air d’être faite de bric et de broc (ex : manque des morceaux de moquettes, fissures aux murs, papier peint qui se décolle, etc)_x000D_
- L’hygiène est sommaire (il ne faut pas être trop regardant dans les détails) _x000D_
- Mauvaise isolation intérieure et extérieure","Mitigée . - L’emplacement _x000D_
- Station de métro au pied de l’hôtel _x000D_
- Le personnel était agréable _x000D_
- Bon rapport qualité prix . - Nous avons dû changer de chambre la fenêtre ne fermait pas_x000D_
- La literie était mauvaise et la couette aussi fine que du papier à cigarette _x000D_
- La décoration et les meubles sont vétustes_x000D_
- La chambre donne l’air d’être faite de bric et de broc (ex : manque des morceaux de moquettes, fissures aux murs, papier peint qui se décolle, etc)_x000D_
- L’hygiène est sommaire (il ne faut pas être trop regardant dans les détails) _x000D_
- Mauvaise isolation intérieure et extérieure",negative,negative,positive,-1,-1,1
7,Très correct,L’emplacement est très bien. Le personnel agréable. La chambre petite mais globalement confortable. L’hôtel n’est pas très bruyant pour un centre ville.,"Les 12€ de petit dej pour un café, un croissant et un vers de jus d’orange premier prix.","Très correct . L’emplacement est très bien. Le personnel agréable. La chambre petite mais globalement confortable. L’hôtel n’est pas très bruyant pour un centre ville. . Les 12€ de petit dej pour un café, un croissant et un vers de jus d’orange premier prix.",not_mentioned,positive,positive,0,1,1
7,Chambre d'hôtel classique,"Simple et efficace, rien de particulier_x000D_
Fait le taff","Pas de personnel à mon arrivée, 10 min d'attente dans le hall_x000D_
Rue très bruyante_x000D_
Le petit déjeuner serait à améliorer : pas le choix dans le thé, salade de fruits en boîte, un morceau de baguette trop petit à mon goût","Chambre d'hôtel classique . Simple et efficace, rien de particulier_x000D_
Fait le taff . Pas de personnel à mon arrivée, 10 min d'attente dans le hall_x000D_
Rue très bruyante_x000D_
Le petit déjeuner serait à améliorer : pas le choix dans le thé, salade de fruits en boîte, un morceau de baguette trop petit à mon goût",not_mentioned,positive,negative,0,1,-1
8,Très bien,L'accueil et l'emplacement,Salle de bain petite et toilette problème d'évacuation,Très bien . L'accueil et l'emplacement . Salle de bain petite et toilette problème d'évacuation,not_mentioned,negative,positive,0,-1,1
9,Fabuleux,"Petite chambre sympathique. Mais MON point important est que c'est propre dans la chambre et surtout dans la petite salle de bain. Métro tout prêt (2min). J'étais au 4eme, et je nai pas constaté de nuisances avec l'extérieur.  Bon rapport qualité prix.",Pas de point négatif pour ma part.,"Fabuleux . Petite chambre sympathique. Mais MON point important est que c'est propre dans la chambre et surtout dans la petite salle de bain. Métro tout prêt (2min). J'étais au 4eme, et je nai pas constaté de nuisances avec l'extérieur.  Bon rapport qualité prix. . Pas de point négatif pour ma part.",positive,not_mentioned,positive,1,0,1
8,Très bien,l emplacement,"le petit dejeuner tres moyen, les fruits au sirop etait passe ,le pain pas cuit!","Très bien . l emplacement . le petit dejeuner tres moyen, les fruits au sirop etait passe ,le pain pas cuit!",not_mentioned,negative,positive,0,-1,1
6,avis flor,Emplacement,taille salle de bain/ wc,avis flor . Emplacement . taille salle de bain/ wc,not_mentioned,not_mentioned,positive,0,0,1
8,Très bien,"Emplacement extra pour aller au théâtre ! A cinq minutes à pied, et dans un quartier animé, à deux pas de restaurants divers bon marché.","Une fenêtre ne fermait pas et impossible de nous changer de chambre car l'hôtel était complet. Cependant, le personnel a fait tout son possible pour la bloquer, et la nuit s'est bien déroulée. _x000D_
Chambre propre, petite mais suffisante pour une nuit sur place. Salle de bain à rafraîchir, produits minimalistes._x000D_
Insonorisation à revoir...","Très bien . Emplacement extra pour aller au théâtre ! A cinq minutes à pied, et dans un quartier animé, à deux pas de restaurants divers bon marché. . Une fenêtre ne fermait pas et impossible de nous changer de chambre car l'hôtel était complet. Cependant, le personnel a fait tout son possible pour la bloquer, et la nuit s'est bien déroulée. _x000D_
Chambre propre, petite mais suffisante pour une nuit sur place. Salle de bain à rafraîchir, produits minimalistes._x000D_
Insonorisation à revoir...",positive,not_mentioned,positive,1,0,1
7,Un bon endroit pour profiter de Paris le soir après le boulot la journée.,"L'emplacement, le charme de ce petit hôtel, l'accueil",Le nuisance sonore la nuit,"Un bon endroit pour profiter de Paris le soir après le boulot la journée. . L'emplacement, le charme de ce petit hôtel, l'accueil . Le nuisance sonore la nuit",not_mentioned,not_mentioned,positive,0,0,1
7,"pratique pour un passage à Paris, du personnel très gentil,",L'emplacement à la sortie de la station chatelet et la grande gentillesse du réceptionniste et du gardien de nuit,"le bruit dans la rue jusqu'à très tard le soir malgré les fenêtres fermées,","pratique pour un passage à Paris, du personnel très gentil, . L'emplacement à la sortie de la station chatelet et la grande gentillesse du réceptionniste et du gardien de nuit . le bruit dans la rue jusqu'à très tard le soir malgré les fenêtres fermées,",not_mentioned,not_mentioned,positive,0,0,1
7,Bien,"L'accueil et le sourire, le service, la situation.",Les équipements obsolètes et la saleté par endroit,"Bien . L'accueil et le sourire, le service, la situation. . Les équipements obsolètes et la saleté par endroit",negative,negative,not_mentioned,-1,-1,0
9,Très bien située très bon service,Accueil chaleureux service impecable,Rien,Très bien située très bon service . Accueil chaleureux service impecable . Rien,not_mentioned,positive,positive,0,1,1
8,Très bien,"Emplacement _x000D_
Bon petit déjeuner à un prix correct ._x000D_
Sortie du métro rn face de l'entrée. _x000D_
Chambre petite mais bon pour une ou 2 nuits cela convient",Rien.,"Très bien . Emplacement _x000D_
Bon petit déjeuner à un prix correct ._x000D_
Sortie du métro rn face de l'entrée. _x000D_
Chambre petite mais bon pour une ou 2 nuits cela convient . Rien.",not_mentioned,positive,positive,0,1,1
6,Agréable,Emplacement,Salle de bain trop petite,Agréable . Emplacement . Salle de bain trop petite,not_mentioned,not_mentioned,positive,0,0,1
8,Parfait pour quelques nuits,"Personnel aimable, serviable et souriant_x000D_
L'emplacement est idéalement situé proche de la gare et a l'entrée de la station de métro _x000D_
La chambre était nickel et bien agencée","Très mauvaise isolation du bruit jusqu'à 3h du matin la première nuit. J'avais l'impression d'être dehors c'est le seul point négatif et c'est relativement dommage _x000D_
Attention l'ascenseur est très petit également","Parfait pour quelques nuits . Personnel aimable, serviable et souriant_x000D_
L'emplacement est idéalement situé proche de la gare et a l'entrée de la station de métro _x000D_
La chambre était nickel et bien agencée . Très mauvaise isolation du bruit jusqu'à 3h du matin la première nuit. J'avais l'impression d'être dehors c'est le seul point négatif et c'est relativement dommage _x000D_
Attention l'ascenseur est très petit également",positive,positive,positive,1,1,1
8,"Bien, pas déception. Très bon rapport qualité prix","Emplacement, propreté, calme",Position de la Télévision face au lit,"Bien, pas déception. Très bon rapport qualité prix . Emplacement, propreté, calme . Position de la Télévision face au lit",positive,not_mentioned,positive,1,0,1
8,Très bien,Proximité du centre,Salle de bain trop petite,Très bien . Proximité du centre . Salle de bain trop petite,not_mentioned,not_mentioned,positive,0,0,1
6,"Correct, mais surprise par la petitesse de le chambre mansardée et extrêmement petite...","La décoration de la chambre était jolie et agréable. La chambre était propre et assez calme malgré les travaux dans la rue. Les chambres voisines en revanche, n'ont pas d'isolation phonique... Si un autre occupant circule à l'étage, on ne peut pas manquer ses déplacements.","Chambre et lit très petit. Je ne m'attendais pas à ce qu'il n'y ait pas de porte pour séparer l'espace WC et Douche du reste de la chambre. Aucun espace pour circuler autour du lit, ni poser ses bagages.","Correct, mais surprise par la petitesse de le chambre mansardée et extrêmement petite... . La décoration de la chambre était jolie et agréable. La chambre était propre et assez calme malgré les travaux dans la rue. Les chambres voisines en revanche, n'ont pas d'isolation phonique... Si un autre occupant circule à l'étage, on ne peut pas manquer ses déplacements. . Chambre et lit très petit. Je ne m'attendais pas à ce qu'il n'y ait pas de porte pour séparer l'espace WC et Douche du reste de la chambre. Aucun espace pour circuler autour du lit, ni poser ses bagages.",positive,negative,not_mentioned,1,-1,0
7,Emplacement idéal.,L'emplacement est exceptionnel : tout peut se faire à pied. Le métro est très proche. Le quartier est animé et la chambre est calme. Parfait pour un court séjour.,"Tout est petit dans cet hotel : l'escalier, l'asceseur, le couloir, la chambre, les lits, la penderie...","Emplacement idéal. . L'emplacement est exceptionnel : tout peut se faire à pied. Le métro est très proche. Le quartier est animé et la chambre est calme. Parfait pour un court séjour. . Tout est petit dans cet hotel : l'escalier, l'asceseur, le couloir, la chambre, les lits, la penderie...",positive,negative,positive,1,-1,1
9,Fabuleux,"Très bon accueil, très emplacement","Peut déjeuner dans le restaurant à côté  est trés bon mais un peu juste  en quantité : un croi, un morceau de baguette","Fabuleux . Très bon accueil, très emplacement . Peut déjeuner dans le restaurant à côté  est trés bon mais un peu juste  en quantité : un croi, un morceau de baguette",positive,not_mentioned,positive,1,0,1
8,"Hôtel propre, bon emplacement super personnel",Chambre rénovée,Manque un double vitrage mais c’est Paris et pas la campagne donc c’est normal :),"Hôtel propre, bon emplacement super personnel . Chambre rénovée . Manque un double vitrage mais c’est Paris et pas la campagne donc c’est normal :)",positive,not_mentioned,positive,1,0,1
7,Bien,"Chambre fonctionnelle. _x000D_
Plein centre de Paris et très proche du métro.",Un peu bruyant côté rue.,"Bien . Chambre fonctionnelle. _x000D_
Plein centre de Paris et très proche du métro. . Un peu bruyant côté rue.",not_mentioned,positive,positive,0,1,1
8,Un hôtel accueillant et idéalement placé dans Paris,Emplacement idéal dans Paris avec notamment la proximité des transports en commun (20m de l’entrée de la station Châtelet). Accueil sympathique et disponibilité des personnes de l’hôtel que j’ai rencontré.,ras,Un hôtel accueillant et idéalement placé dans Paris . Emplacement idéal dans Paris avec notamment la proximité des transports en commun (20m de l’entrée de la station Châtelet). Accueil sympathique et disponibilité des personnes de l’hôtel que j’ai rencontré. . ras,not_mentioned,positive,positive,0,1,1
9,Situation exceptionnelle,Situation exceptionnelle,Chambre assez petite mais ce n'est pas vraiment un problème pour moi,Situation exceptionnelle . Situation exceptionnelle . Chambre assez petite mais ce n'est pas vraiment un problème pour moi,not_mentioned,not_mentioned,not_mentioned,0,0,0
8,Le personnel est vraiment super et très serviable. Cela fait vraiment plaisir !,L’emplacement est vraiment parfait 👍,La salle de bains est vraiment très petite,Le personnel est vraiment super et très serviable. Cela fait vraiment plaisir ! . L’emplacement est vraiment parfait 👍 . La salle de bains est vraiment très petite,not_mentioned,not_mentioned,positive,0,0,1
7,Satisfaisant pour un court séjour,"Hôtel très bien situé à proximité de chatelet._x000D_
Check in et check out très rapide._x000D_
Literie assez confortable.","L'absence de climatisation, il sera difficile de dormir en plein été. _x000D_
Insonorisation avec les chambres et la rue mais au final c'était calme.","Satisfaisant pour un court séjour . Hôtel très bien situé à proximité de chatelet._x000D_
Check in et check out très rapide._x000D_
Literie assez confortable. . L'absence de climatisation, il sera difficile de dormir en plein été. _x000D_
Insonorisation avec les chambres et la rue mais au final c'était calme.",positive,not_mentioned,positive,1,0,1
7,Bien,Très bien placé pile en face du métro châtelet,Mauvaise isolation phonique,Bien . Très bien placé pile en face du métro châtelet . Mauvaise isolation phonique,not_mentioned,not_mentioned,positive,0,0,1
7,Bien,"Rapport qualité prix compte tenu de la situation géographique ! Et nuitée calme, malgré la zone de fréquentation (bonne insonorisation).","Salle de bain vieillotte et très petite, mais bon... pour une nuitée... l'accessibilité du prix au regard de la situation vaut le coup.","Bien . Rapport qualité prix compte tenu de la situation géographique ! Et nuitée calme, malgré la zone de fréquentation (bonne insonorisation). . Salle de bain vieillotte et très petite, mais bon... pour une nuitée... l'accessibilité du prix au regard de la situation vaut le coup.",not_mentioned,positive,positive,0,1,1
6,séjour agréable avec un bon rapport qualité/prix gâché par la rue très bruyante la nuit,"proximité de la Rue de Rivoli et des halles _x000D_
accueil très gentil _x000D_
appel d’un taxi au moment du départ _x000D_
salle de bain propre","pas de climatisation ( ils faisait 29 degrés)_x000D_
très très bruyant la nuit côté rue avec des sdf, des fêtards…(ja journée, c’est juste une ruelle de passage )_x000D_
vieille moquette violette dans les couloirs","séjour agréable avec un bon rapport qualité/prix gâché par la rue très bruyante la nuit . proximité de la Rue de Rivoli et des halles _x000D_
accueil très gentil _x000D_
appel d’un taxi au moment du départ _x000D_
salle de bain propre . pas de climatisation ( ils faisait 29 degrés)_x000D_
très très bruyant la nuit côté rue avec des sdf, des fêtards…(ja journée, c’est juste une ruelle de passage )_x000D_
vieille moquette violette dans les couloirs",positive,negative,not_mentioned,1,-1,0
6,Agréable,"Amabilité du personnel_x000D_
Situation, proximité du Metro","Escalier très étroit, dangereux lorsque l'on porte les valises._x000D_
Ascenseur en mauvais état.","Agréable . Amabilité du personnel_x000D_
Situation, proximité du Metro . Escalier très étroit, dangereux lorsque l'on porte les valises._x000D_
Ascenseur en mauvais état.",not_mentioned,negative,positive,0,-1,1
7,Bien,"Proche métro._x000D_
Rue assez calme","Escaliers étroits._x000D_
Pas de frigo pour boisson.","Bien . Proche métro._x000D_
Rue assez calme . Escaliers étroits._x000D_
Pas de frigo pour boisson.",not_mentioned,negative,positive,0,-1,1
7,bon séjour mais trop de nuisance sonore. c’est dommage,"l’emplacement, le personnel.","trop bruyant du à l’emplacement ,musique qui résonne d’un établissement collé à l’hôtel.","bon séjour mais trop de nuisance sonore. c’est dommage . l’emplacement, le personnel. . trop bruyant du à l’emplacement ,musique qui résonne d’un établissement collé à l’hôtel.",not_mentioned,positive,negative,0,1,-1
8,Hôtel qui a répondu à toutes mes attentes.,"Emplacement idéal, plus un personnel très agréable et disponible.",ras,"Hôtel qui a répondu à toutes mes attentes. . Emplacement idéal, plus un personnel très agréable et disponible. . ras",not_mentioned,positive,positive,0,1,1
7,Bien,Literie confortable. Sortie métro en bas de l hôtel. Personnel très accueillant,Salle de bain méritant un coup de neuf,Bien . Literie confortable. Sortie métro en bas de l hôtel. Personnel très accueillant . Salle de bain méritant un coup de neuf,positive,positive,positive,1,1,1
7,Bien,La situation de l hôtel dans paris,Salle d eau très petite et très ancien,Bien . La situation de l hôtel dans paris . Salle d eau très petite et très ancien,not_mentioned,negative,positive,0,-1,1
7,Bien,bien situé,manque la possibilité de déjeuner,Bien . bien situé . manque la possibilité de déjeuner,not_mentioned,not_mentioned,positive,0,0,1
8,Très bien,"la gentillesse et la disponibilité du personnel._x000D_
l'emplacement","La petitesse et l'étroitesse de la chambre._x000D_
Le matelas très mou, provoquant des maux de dos.","Très bien . la gentillesse et la disponibilité du personnel._x000D_
l'emplacement . La petitesse et l'étroitesse de la chambre._x000D_
Le matelas très mou, provoquant des maux de dos.",not_mentioned,negative,positive,0,-1,1
9,très bon séjour,accueil sympathique . propreté. situation. très calme,pas de wifi,très bon séjour . accueil sympathique . propreté. situation. très calme . pas de wifi,positive,not_mentioned,positive,1,0,1
9,Très bon rapport qualité prix idéalement situé,Un très bon séjour. Hôtel très correct et idéalement situé. Excellent rapport qualité prix.,Peut être un accès wifi accessible?,Très bon rapport qualité prix idéalement situé . Un très bon séjour. Hôtel très correct et idéalement situé. Excellent rapport qualité prix. . Peut être un accès wifi accessible?,positive,not_mentioned,positive,1,0,1
3,a éviter,Emplacement et c'est tout,Le lit était souillé et traces probables de punaises de lit,a éviter . Emplacement et c'est tout . Le lit était souillé et traces probables de punaises de lit,negative,not_mentioned,positive,-1,0,1
4,Décevant,"La situation _x000D_
La chambre était très propre","Chambre très petite , une seule prise de courant à droite du lit , aucune dans la salle de bain . Filet d eau au robinet , la chambre est très abîmée . Le petit déjeuner n est vraiment pas qualitatif , quelle image donne t on de la cuisine française ?_x000D_
Le rapport qualité / prix n est pas bon .","Décevant . La situation _x000D_
La chambre était très propre . Chambre très petite , une seule prise de courant à droite du lit , aucune dans la salle de bain . Filet d eau au robinet , la chambre est très abîmée . Le petit déjeuner n est vraiment pas qualitatif , quelle image donne t on de la cuisine française ?_x000D_
Le rapport qualité / prix n est pas bon .",positive,negative,not_mentioned,1,-1,0
5,Plus que moyen,La localisation de l hôtel. Proche de tout . Beaucoup de restaurants à proximité,La chambre à vraiment besoin d un rafraîchissement. Petite salade de bain q une autre époque....moisissure peinture écaillée.  Bref à 126e la nuit sans petit déjeuner le rapport qualité prix n est pas du tout au rdv,Plus que moyen . La localisation de l hôtel. Proche de tout . Beaucoup de restaurants à proximité . La chambre à vraiment besoin d un rafraîchissement. Petite salade de bain q une autre époque....moisissure peinture écaillée.  Bref à 126e la nuit sans petit déjeuner le rapport qualité prix n est pas du tout au rdv,negative,not_mentioned,positive,-1,0,1
5,Ne vaut pas le prix,L’emplacement,Pas de prise de courant en tête de lit. Panne d’électricité dans la salle de bain. Pas de papier toilette en arrivant . Petit déjeuner dans un restaurant à côté de l’hôtel au minimum,Ne vaut pas le prix . L’emplacement . Pas de prise de courant en tête de lit. Panne d’électricité dans la salle de bain. Pas de papier toilette en arrivant . Petit déjeuner dans un restaurant à côté de l’hôtel au minimum,negative,negative,not_mentioned,-1,-1,0
4,Décevant,L’emplacement.,Hôtel sale et miteux avec chambre défraîchie non insonorisée. Il faut négocier pour avoir un petit déjeuner avant 8h.,Décevant . L’emplacement. . Hôtel sale et miteux avec chambre défraîchie non insonorisée. Il faut négocier pour avoir un petit déjeuner avant 8h.,negative,negative,not_mentioned,-1,-1,0
4,Décevant,Emplacement,Emplacement Très bruyant,Décevant . Emplacement . Emplacement Très bruyant,not_mentioned,not_mentioned,negative,0,0,-1
1,"déception, qui n'a été compensée que par la situation de l'hôtel",le seul plus c'est que l'hôtel est situé en centre ville,"Chambre très sale. Il y a beaucoup de moisissure près du lit et des fenêtres. très sale, même dangereux pour la santé. Le réceptionniste n'est pas poli. mais l'homme qui travaillait à la réception était plus agréable","déception, qui n'a été compensée que par la situation de l'hôtel . le seul plus c'est que l'hôtel est situé en centre ville . Chambre très sale. Il y a beaucoup de moisissure près du lit et des fenêtres. très sale, même dangereux pour la santé. Le réceptionniste n'est pas poli. mais l'homme qui travaillait à la réception était plus agréable",negative,not_mentioned,positive,-1,0,1
5,Passable,L'emplacement,"La chambre était assez grande mais tellement moche. Elle manquait de charme. Il y avait peu de prises et peu de lumière. Il faisait froid._x000D_
La salle de bain très propre était extrêmement petite.","Passable . L'emplacement . La chambre était assez grande mais tellement moche. Elle manquait de charme. Il y avait peu de prises et peu de lumière. Il faisait froid._x000D_
La salle de bain très propre était extrêmement petite.",positive,negative,not_mentioned,1,-1,0
4,Décevant,La literie et l'emplacement,"La souris dans la chambre,  la saleté et le lieu du petit déjeuner,  et la quantité du petit déjeuner.","Décevant . La literie et l'emplacement . La souris dans la chambre,  la saleté et le lieu du petit déjeuner,  et la quantité du petit déjeuner.",negative,not_mentioned,not_mentioned,-1,0,0
5,Passable,emplacement excellent,"hôtel vétuste, accueil minimaliste","Passable . emplacement excellent . hôtel vétuste, accueil minimaliste",not_mentioned,negative,positive,0,-1,1
10,Exceptionnel,"Personnel très aimable et disponible._x000D_
Emplacement très pratique._x000D_
Chambre avec lit confortable et bien chauffée.",ras,"Exceptionnel . Personnel très aimable et disponible._x000D_
Emplacement très pratique._x000D_
Chambre avec lit confortable et bien chauffée. . ras",not_mentioned,positive,positive,0,1,1
10,Séjour parfait 👍,Vraiment j'ai tout apprécié ! Hôtel sobre mais très bien placé et personnel extrêmement gentil !,Rien,Séjour parfait 👍 . Vraiment j'ai tout apprécié ! Hôtel sobre mais très bien placé et personnel extrêmement gentil ! . Rien,positive,not_mentioned,positive,1,0,1
5,Vraiment pas terrible,"L'emplacement, cet hôtel doit être réhabilité","bruit dans la rue, propreté et délabrement chambre, cage d'escalier...","Vraiment pas terrible . L'emplacement, cet hôtel doit être réhabilité . bruit dans la rue, propreté et délabrement chambre, cage d'escalier...",negative,negative,not_mentioned,-1,-1,0
4,très moyen,Emplacement,"douche trop-étroite_x000D_
petit déjeuner continental uniquement sucré_x000D_
les poils et cheveux dans la salle de douche","très moyen . Emplacement . douche trop-étroite_x000D_
petit déjeuner continental uniquement sucré_x000D_
les poils et cheveux dans la salle de douche",negative,not_mentioned,positive,-1,0,1
7,Bien,"Emplacement , petit déjeuné",Chaleur : il faut impérativement fermer la fenêtre après le ménage ...,"Bien . Emplacement , petit déjeuné . Chaleur : il faut impérativement fermer la fenêtre après le ménage ...",not_mentioned,positive,positive,0,1,1
10,"Excellent séjour, c’est une adresse que nous retenons pour nos prochains week-end à Paris.","L’accueil du personnel a été impeccable. Du sourire, de la bonne humeur, de la disponibilité. Tout a été fait pour nous faciliter notre séjour. _x000D_
Également l’emplacement de l’hôtel est idéal.",Il y avait des gens un peu bruyant la nuit dans la rue.,"Excellent séjour, c’est une adresse que nous retenons pour nos prochains week-end à Paris. . L’accueil du personnel a été impeccable. Du sourire, de la bonne humeur, de la disponibilité. Tout a été fait pour nous faciliter notre séjour. _x000D_
Également l’emplacement de l’hôtel est idéal. . Il y avait des gens un peu bruyant la nuit dans la rue.",not_mentioned,positive,positive,0,1,1
8,"Emplacement en face de la bouche de métro, bon petit déjeuner, personnel sympa.",Emplacement top,Un peu vieillot,"Emplacement en face de la bouche de métro, bon petit déjeuner, personnel sympa. . Emplacement top . Un peu vieillot",not_mentioned,not_mentioned,positive,0,0,1
6,Agréable,Emplacement,Deco vieillotte,Agréable . Emplacement . Deco vieillotte,not_mentioned,not_mentioned,positive,0,0,1
9,Un petit hôtel super bien situé,"Accueil sympathique, emplacement idéal pour visiter Paris à pied ou en métro, centré et tout près d'une bouche de métro, calme et confortable. Je recommande vivement.",Rien !,"Un petit hôtel super bien situé . Accueil sympathique, emplacement idéal pour visiter Paris à pied ou en métro, centré et tout près d'une bouche de métro, calme et confortable. Je recommande vivement. . Rien !",not_mentioned,positive,positive,0,1,1
